No.,所属,母優,馬名,募集馬名,父名,"2023年
種付け料","2025年
種付け料",母父,性,色付け,毛色,生年月日,募集価格,価格帯,厩舎,提供牧場,生産牧場,育成牧場,体高,胸囲,管囲,馬体重,"8月中旬
馬体重","バッタさん
予測馬体重",母成績,国内/海外,母の生産国,母の現役時所属,主な勝ち鞍,クラス,産齢,出産,セール出身,コメント,手術歴・癖,インブリード,抽選ステージ,母優無当選率,1次募集残口,人気ランク,馬名の由来,育成移動,外厩移動,"9/30
馬体重","10/31
馬体重","11/28
馬体重","1/15
馬体重","2/15
馬体重","3/15
馬体重","4/15
馬体重","10/31
坂路","11/28
坂路","12/26
坂路","01/15
坂路","01/31
坂路","02/15
坂路","02/28
坂路","03/15
坂路","03/31
坂路","04/15
坂路","04/30
坂路","9/30
体重差分","10/31
体重差分","11/28
体重差分","03/15
体重差分",No.募集馬名
1,1.関東,1.有,ランパディアス,ピンクアリエスの24,キタサンブラック,"1,000","2,000",キングカメハメハ,1.牡,1.有1.牡,黒鹿,05/02,"8,000",8000,黒岩陽一,ノーザンF,ノーザンF,ＮＦ早来,154,172,21,447,455,504,6戦0勝,国内,日本,キャロット,なし,1.未勝利馬,17,連産3,,,,Lyphard 5×5,D.一般抽選,25.5%,満口,48,本馬の星座おうし座の一等星アルデバランの古代ギリシャ名。母名より,2025/09/03 ,,441,456,470,477,,,,17-19,17-20,15-18,16-18,,,,,,,,-6,9,23,,1.ピンクアリエスの24
2,1.関東,2.無,ディノフェリス,シーズアタイガーの24,キタサンブラック,"1,000","2,000",Tale of the Cat,1.牡,2.無1.牡,鹿,05/03,"12,000",10000,田中博康,ノーザンF,ノーザンF,ＮＦ空港,157,178,21.5,486,494,548,7戦3勝,海外,アメリカ,海外馬主,GⅠデルマーデビュタントSダート1400m,5.GⅠ勝ち馬,13,連産9,,,,"Mr. Prospector 4×5, Honest Pleasure 5×5, Lyphard 5×5",D.一般抽選,64.9%,満口,62,中新世から更新世初期に生息していたネコ科の動物。母名より連想,2025/10/14 ,,500,518,520,540,,,,外傷良化,18-20,17-18,16-17,,,,,,,,14,32,34,,2.シーズアタイガーの24
3,1.関東,2.無,パルパデオ,シングルゲイズの24,キタサンブラック,"1,000","2,000",Not A Single Doubt,2.牝,2.無2.牝,黒鹿,01/26,"6,000",6000,木村哲也,ノーザンF,ノーザンF,ＮＦ空港,154,176.5,18.8,460,468,464,35戦5勝,海外,オーストラリア,海外馬主,GⅠATCストームクイーンS芝2000m、その他重賞2勝,5.GⅠ勝ち馬,12,連産5,,,左飛節OCD除去手術（2025/5/19）,Lyphard 5×5,E.一般当選,100.0%,11,72,まばたき、きらめき（西）。鮮烈な存在感を放つことを願って,2025/09/04 ,,463,474,475,469,,,,18-20,17-18,16-18,16-17,,,,,,,,3,14,15,,3.シングルゲイズの24
4,1.関東,1.有,イシュナック,リカビトスの24,ロードカナロア,"1,200","1,000",ディープブリランテ,1.牡,1.有1.牡,鹿,03/09,"7,000",7000,田中博康,ノーザンF,ノーザンF,ＮＦ空港,156,173,20,445,452,487,17戦4勝,国内,日本,キャロット,2勝クラス特別戦芝1800m,2.条件馬,10,連産4,,,,"Mr. Prospector 4×5, His Majesty/Graustark 5×5",C.×0抽選,77.8%,満口,19,アイルランドの神話に登場するイシュナックの丘。母名より連想,2025/09/16 ,,468,460,452,470,,,,20,17-18,17,16-17,,,,,,,,23,15,7,,4.リカビトスの24
5,1.関東,2.無,リテラルヴァース,クオウトの24,ロードカナロア,"1,200","1,000",Galileo,1.牡,2.無1.牡,鹿,03/15,"4,000",4000,鹿戸雄一,白老F,白老F,ＮＦ空港,154,166.5,20,413,428,463,10戦1勝,海外,イギリス,海外馬主,-,2.条件馬,8,連産4,,,,"Sadler's Wells 3×5, Northern Dancer 5×4, Mr. Prospector 4×5",E.一般当選,100.0%,43,77,文字通りの詩句。母名より連想,2025/10/13,,415,437,432,460,,,,,18,左前膝腫れ,マシン調整,,,,,,,,2,24,19,,5.クオウトの24
6,1.関東,2.無,グレイスコール,プレインチャントの24,ロードカナロア,"1,200","1,000",Gregorian,2.牝,2.無2.牝,鹿,03/30,"4,600",4000,古賀慎明,ノーザンF,ノーザンF,ＮＦ空港,148,168.5,17.9,381,388,406,6戦4勝,海外,フランス,海外馬主,GⅡクリテリヨムドメゾンラフィット芝1200m、他GⅢ1勝,4.GⅡGⅢ勝ち馬（地方重賞含む）,6,連産2,,,,Northern Dancer 5×5,E.一般当選,100.0%,101以上,87,恩恵の呼び声。幸運や恩恵に恵まれますように,2025/10/02 ,,396,404,410,420,,,,,,17-18,17,,,,,,,,15,23,29,,6.プレインチャントの24
7,1.関東,1.有,フィリオソラーレ,フィリアプーラの24,エピファネイア,"1,800","1,200",ハービンジャー,1.牡,1.有1.牡,黒鹿,01/10,"10,000",10000,木村哲也,ノーザンF,ノーザンF,ＮＦ空港,156,182.5,20.3,489,498,508,16戦2勝,国内,日本,キャロット,GⅢフェアリーS芝1600m,4.GⅡGⅢ勝ち馬（地方重賞含む）,8,連産2,,,,"サンデーサイレンス 4×3, Hail to Reason 5×5",B.×1抽選,77.8%,満口,7,太陽の子（伊）。母名より連想,2025/09/01 ,,489,476,483,499,,,,18,16-17,16-17,16-17,,,,,,,,0,-13,-6,,7.フィリアプーラの24
8,1.関東,2.無,ロサカニーナ,ドナウデルタの24,エピファネイア,"1,800","1,200",ロードカナロア,2.牝,2.無2.牝,黒鹿,01/19,"5,000",5000,堀宣行,ノーザンF,ノーザンF,ＮＦ空港,148,170.5,19.9,433,426,433,18戦6勝,国内,日本,サンデー,ポートアイランドS芝1600m,3.オープン馬,8,連産2,,,,サンデーサイレンス 4×4,C.×0抽選,50.0%,満口,14,イヌバラ。ドナウ川が流れるルーマニアの国花。母名より連想,2025/09/10 ,,419,430,435,450,,,,両飛節後腫,両飛節腫れ,マシン調整,マシン調整,,,,,,,,-14,-3,2,,8.ドナウデルタの24
9,1.関東,1.有,#N/A,サンクテュエールの24,サートゥルナーリア,800,"1,000",ディープインパクト,2.牝,1.有2.牝,黒鹿,01/14,"6,000",6000,鹿戸雄一,ノーザンF,ノーザンF,ＮＦ空港,153,175,19.2,448,,452,16戦2勝,国内,日本,キャロット,GⅢシンザン記念芝1600m,4.GⅡGⅢ勝ち馬（地方重賞含む）,7,初仔,,,,"サンデーサイレンス 4×3, Sadler's Wells 4×5, Mr. Prospector 5×5",,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,9.サンクテュエールの24
10,1.関東,2.無,ジェニスタ,キラーグレイシスの24,サートゥルナーリア,800,"1,000",Congaree,2.牝,2.無2.牝,黒鹿,03/30,"6,000",6000,宮田敬介,ノーザンF,ノーザンF,ＮＦ空港,156,177,20,450,459,476,16戦3勝,海外,アメリカ,海外馬主,GⅠハリウッドスターレットSダート1700m,5.GⅠ勝ち馬,15,連産6,,,旋回癖,Northern Dancer 5×5×5,D.一般抽選,28.6%,満口,53,エニシダ。本馬の誕生日である3月30日の誕生花,2025/09/16 ,,469,440,448,468,,,,18-20,17-18,17-18,17-18,,,,,,,,19,-10,-2,,10.キラーグレイシスの24
